"name","id","active_rosters","drafted_by","position","years_exp","starts","benched","total_points","started_points","drafted_round","sleeper_id"
"John Wolford",3124092,"JC's cursed Interceptors","NA","QB",-1,0,1,8.78,0,0,"0000"
"Foster Moreau",3843945,"Golaso King Seabass,St Charles 69ers","NA","TE",-1,5,0,30.1,30.1,0,"0000"
"Colt McCoy",13199,"La La Land","NA","QB",-1,1,0,13.92,13.92,0,"0000"
"Falcons D/ST",-16001,"The Tiger  King","NA","D/ST",-1,1,0,1,1,0,"0000"
"Christian Watson",4248528,"Let Russ Cook Deebo's Nutz","NA","WR",-1,3,1,61,61,0,"0000"
"Jerick McKinnon",16782,"Slant Boys For Life","NA","RB",-1,0,4,46.9,0,0,"0000"
"Trey McBride",4361307,"La La Land","NA","TE",-1,1,0,3.4,3.4,0,"0000"
"Kyren Williams",4430737,"Let Russ Cook Deebo's Nutz","NA","RB",-1,1,1,8.4,0.9,0,"0000"
"Mike White",3051381,"Slant Boys For Life","NA","QB",-1,1,2,52.98,24.8,0,"0000"
"JaMycal Hasty",3928925,"Let Russ Cook Deebo's Nutz","NA","RB",-1,0,2,1.3,0,0,"0000"
"Jordan Mason",4360569,"Let Russ Cook Deebo's Nutz","NA","RB",-1,0,2,10.7,0,0,"0000"
"Donovan Peoples-Jones",4258195,"For Trevor And Ever Amon","NA","WR",-1,0,2,27.3,0,0,"0000"
"Zonovan Knight",4427728,"For Trevor And Ever Amon","NA","RB",-1,0,2,29,0,0,"0000"
"Mac Jones",4241464,"Let Russ Cook Deebo's Nutz","NA","QB",-1,1,0,7.3,7.3,0,"0000"
"Travis Homer",4037457,"Let Russ Cook Deebo's Nutz","NA","RB",-1,1,0,4.4,4.4,0,"0000"
"Brock Purdy",4361741,"Golaso King Seabass","NA","QB",-1,0,1,21.7,0,0,"0000"
"Sam Darnold",3912547,"Cooks in the kitchen ","NA","QB",-1,1,0,11.8,11.8,0,"0000"
"Tyler Huntley",4035671,"For Trevor And Ever Amon","NA","QB",-1,0,1,6.62,0,0,"0000"
"Desmond Ridder",4239086,"La La Land","NA","QB",-1,0,1,0,0,0,"0000"
"Raiders D/ST",-16013,"The Tiger  King","NA","D/ST",-1,1,0,9,9,0,"0000"
